Posicoes do VANT [X Y Z qX qY qZ qW]

[
 1.61895e-319 6.90241e-310 2.71736e-322 -nan -nan -nan -nan;
 -0.454848 0.960168 8.3005 0.16708 -0.19434 0.965029 -0.0550907;
 -0.79904 0.972752 8.30822 0.180616 -0.249134 0.950177 -0.0497415;
 -1.03869 0.968023 8.2991 0.18361 -0.253866 0.948457 -0.0476289;
 -1.53804 0.931837 8.197 0.199737 -0.106062 0.973673 -0.0285778;
 -1.76472 0.887047 8.16301 0.172403 0.00281195 0.984642 -0.0273667;
 -2.06878 0.77309 8.14975 0.164863 0.171371 0.970894 -0.0285834;
 -2.28157 0.627381 8.17296 0.165501 0.282666 0.944339 -0.0305594;
 -2.39675 0.471179 8.18864 0.158066 0.325794 0.931685 -0.0289345;
 -2.44976 0.290201 8.20319 0.14558 0.331022 0.931984 -0.0252352;
 -2.41244 0.104194 8.221 0.16832 0.327583 0.929239 -0.0295462;
 -2.34921 -0.0420316 8.23756 0.124068 0.239167 0.962612 -0.0280049;
 -2.19586 -0.295967 8.27985 -0.128207 0.113395 0.984659 -0.0339385;
 -2.11894 -0.398164 8.29832 -0.120983 0.213747 0.967683 -0.0571398;
 -1.97162 -0.536717 8.311 0.00163626 0.288401 0.953023 -0.0925686;
 -1.78274 -0.660155 8.32334 0.0986636 0.247853 0.956826 -0.115409;
 -1.58101 -0.783782 8.33775 0.104435 0.272399 0.950044 -0.110941;
 -1.35078 -0.917368 8.36121 0.0424614 0.325272 0.940225 -0.091497;
 -1.06547 -1.05595 8.37182 -0.0288081 0.345294 0.935519 -0.0688937;
 -0.757066 -1.16208 8.39263 -0.0762679 0.180449 0.978444 -0.0653357;
 -0.42759 -1.24367 8.42942 -0.126217 0.0964269 0.983485 -0.0867689;
 -0.23622 -1.28017 8.44788 -0.195636 0.101122 0.971669 -0.0857891;
 0.0532671 -1.29695 8.46779 -0.23841 0.17416 0.951822 -0.0828459;
